Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
840;CONTRATO PRESTACION DE SERVICIOS SOFTWARE;CPS-011-2024;Publicado;Contratación régimen especial;EMVIAS MISTRATO;5700000;Presentación de oferta;EMPRESA VIAL Y DE TRANSPORTES DE MUNICIPIO DE MISTRATO RISARALDA;19 días de tiempo transcurrido (19/04/2024 9:36:21 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6004393;-;Prestación de servicios;Regla aplicable;30/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR LOS SERVICIOS TECNICOS PARA LA ACTUALIZACION      SOPORTE TECNICO CAPACITACION MANTENIMIENTO Y CONSERVACION DE LAS APLICACIONES DE PRESUPUESTO Y CONTABILIDAD PARA USO DE LA EMPRESA VIAL Y DE TRANSPORTES DEL MUNICIPIO DE MISTRATO RISARALDA;0;43231601 - Software de contabilidad;
841;ALQUILER SOFTWARE PRESUPUESTAL PERIODO 2024;2024-07;Publicado;Contratación régimen especial;I.E ALFREDO MOLANO;1485000;Presentación de oferta;INSTITUCION EDUCATIVA ALFREDO MOLANO BRAVO;19 días de tiempo transcurrido (19/04/2024 9:15:43 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6004810;-;Prestación de servicios;Regla aplicable;3/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ALQUILER SOFTWARE PRESUPUESTAL PERIODO 2024;1485000;43231601 - Software de contabilidad;
842;CONTRATO DE PRESTACIÓN DE SERVICIOS;070-2024;Proceso adjudicado y celebrado;Contratación régimen especial;EDUR;140000000;Presentación de oferta;EMPRESA DE DESARROLLO TERRITORIAL URBANO Y RURAL DE RISARALDA - EDUR;20 días de tiempo transcurrido (18/04/2024 4:59:14 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6002223;-;Prestación de servicios;Regla aplicable;18/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE ACCESO Y USO A LA PLATAFORMA PARA LA GESTIÓN ESTATAL SIIFWEB, EN LA MODALIDAD DENOMINADA SOFTWARE COMO SERVICIO (SOFTWARE AS A SERVICE SAAS) PARA LA OPERACIÓN Y GESTION DE LA EMPRESA DE DESARROLLO TERRITORIAL URBANO Y RURAL DE REISARALDA -EDUR;140000000;43231601 - Software de contabilidad;
843;ACTIALIZACION SOFTWARE CONTABLE;RESO-02-2024;Publicado;Contratación régimen especial;RECTORIA;2000000;Presentación de oferta;IE. GILBERTO ALZATE AVENDAÑO;20 días de tiempo transcurrido (18/04/2024 4:56:40 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6002094;-;Prestación de servicios;Regla aplicable;18/04/2025 5:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTIALIZACION SOFTWARE CONTABLE PARA LA I.E. GILBERTO ALZATE AVENDAÑO.;2000000;43231601 - Software de contabilidad;
844;PLATAFORMA CONTABLE;002-2024;Publicado;Contratación régimen especial;Contratación;2200000;Presentación de oferta;INSTITUCION EDUCATIVA TECNICA INDUSTRIAL DE SOLEDAD MARIA AUXILIADORA;20 días de tiempo transcurrido (18/04/2024 9:05:06 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5997897;-;Suministros;Regla aplicable;22 días de tiempo transcurrido (16/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);suministro e soporte y actualizaciones para el software financiero SARIe que posee su la institución es el acceso a la plataforma desde cualquier dispositivo que tenga internet (la información se almacena en nuestro servidores9, soporte remoto, actualizaciones y hosting del sarie en la nube;10500000;43231601 - Software de contabilidad;
845;INSTITUCION EDUCATIVA GABRIEL ESCORCIA GRAVINI;IEGEG-RE-004-2024;Publicado;Contratación régimen especial;FSE IEGEG;2200000;Presentación de oferta;INSTITUCION EDUCATIVA GABRIEL ESCORCIA GRAVINI DE SOLEDAD;20 días de tiempo transcurrido (18/04/2024 3:52:17 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5997902;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar los servicios de licencia y derechos de uso de un hosting financiero versión web.;2300000;43231601 - Software de contabilidad;
846;ADQUISICIÓN DE LICENCIA DE USO SOFTWARE FINANCIERO, REQUERIDO PARA EL FUNCIONAMIENTO ÓPTIMO DE LA SECRETARÍA DE HACIENDA: PREDIAL, IMPUESTO DE INDUSTRIA Y COMERCIO, CONTABILIDAD, PRESUPUESTO, TESORERÍ;MC-CD-039-2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;36000000;Presentación de oferta;MUNICIPIO DE CERINZA;21 días de tiempo transcurrido (17/04/2024 3:59:01 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5995370;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;21 días de tiempo transcurrido (17/04/2024 12:59:00 PM(UTC-05:00) Bogotá, Lima, Quito);ADQUISICIÓN DE LICENCIA DE USO SOFTWARE FINANCIERO, REQUERIDO PARA EL FUNCIONAMIENTO ÓPTIMO DE LA SECRETARÍA DE HACIENDA: PREDIAL, IMPUESTO DE INDUSTRIA Y COMERCIO, CONTABILIDAD, PRESUPUESTO, TESORERÍA, ASÍ COMO EL SOPORTE TÉCNICO OPORTUNO DEL MISMO.;36000000;43231601 - Software de contabilidad;
847;ACTUALIZACION SOFTWARE PRESUPUESTAL, FINANCIERO Y DE INVENTARIOS;CT-RE-03-2024;Publicado;Contratación régimen especial;COLEGIO TOBERIN IED;1100000;Presentación de oferta;COLEGIO TOBERIN IED;21 días de tiempo transcurrido (17/04/2024 3:55:03 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5995445;-;Prestación de servicios;Regla aplicable;23 días de tiempo transcurrido (15/04/2024 12:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Actualizacion software presupuestal, financiero y de inventarios esparta version 2024;1000000;43231601 - Software de contabilidad;
848;"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA LA NUBE DE ACTUALIZACIÓN Y MANTENIMIENTO AL SOFTWARE CONTRACTVS ERP (CONTRACTVS-ERP_SAAS) DE LA EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO ""AGUAS DE PORE";CPS No. 019 - 2024;Publicado;Contratación régimen especial;CONTRATOS REGIMEN ESPECIAL AGUAS DE PORE ESP S.A.;17000000;Presentación de oferta;EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE PORE E.S.P;21 días de tiempo transcurrido (17/04/2024 8:57:42 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5992169;-;Prestación de servicios;Regla aplicable;11/10/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"CONTRATAR LA PRESTACIÓN DEL SERVICIO PARA LA NUBE DE ACTUALIZACIÓN Y MANTENIMIENTO AL SOFTWARE CONTRACTVS ERP (CONTRACTVS-ERP_SAAS) DE LA EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO ""AGUAS DE PORE E.S.P S.A""";17000000;43231601 - Software de contabilidad;
849;PRESTACIÓN DE SERVICIOS TECNOLOGICOS PARA LA RENOVACIÓN LICENCIAS DEL SOFTWARE DENOMINADO CADUCEOS, HISTORIA CLINICA, XLAB Y FACTURACIÓN ELECTRONICA PARA LA E.S.E. HOSPITAL SAN RAFAEL DE SAN VICENTE D;20240199PS;Publicado;Contratación régimen especial;CONTRATACION;57678963;Presentación de oferta;E.S.E HOSPITAL SAN RAFAEL SAN VICENTE;23 días de tiempo transcurrido (15/04/2024 9:04:02 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5980008;-;Decreto 092 de 2017;Decreto 092 de 2017;18/03/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS TECNOLOGICOS PARA LA RENOVACIÓN LICENCIAS DEL SOFTWARE DENOMINADO CADUCEOS, HISTORIA CLINICA, XLAB Y FACTURACIÓN ELECTRONICA PARA LA E.S.E. HOSPITAL SAN RAFAEL DE SAN VICENTE DEL CAGUÁN.;57678963;43231601 - Software de contabilidad;
850;PRESTACIÓN DE SERVICIOS DE MANTENIMIENTO, SOPORTE TECNICO Y PROFESIONAL DEL SISTEMA DE INFORMACION PROSOFT DE LOS MODULOS DE CONTABILIDAD NOMINA PRESUPUESTO E INVENTARIO PARA USO DEL INSTITUTO DE TURI;CD-ITM-389-2024;Proceso adjudicado y celebrado;Contratación directa.;CONTRATACION;51344384;Presentación de oferta;INSTITUTO DE TURISMO DEL META;23 días de tiempo transcurrido (15/04/2024 7:40:55 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5979530;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;12/08/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE MANTENIMIENTO SOPORTE TECNICO Y PROFESIONAL DEL SISTEMA DE INFORMACION PROSOFT DE LOS MODULOS DE CONTABILIDAD NOMINA PRESUPUESTO E INVENTARIO PARA USO DEL INSTITUTO DE TURISMO DEL META;51344384;43231601 - Software de contabilidad;
851;ORDEN DE SERVICIO FACTURACION;130.7.8.025.2024;Publicado;Contratación régimen especial;ESE SURORIENTE;2920020;Presentación de oferta;RED DE SALUD DEL SURORIENTE EMPRESA SOCIAL DEL ESTADO;26 días de tiempo transcurrido (12/04/2024 12:53:48 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5972976;-;Prestación de servicios;Regla aplicable;23 días para terminar (31/05/2024 11:59:00 PM(UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE SOFTWARE COMO SERVICIO DE FACTURACIÓN ELECTRÓNICA PARA LA ESE SUR ORIENTE;4380030;43231601 - Software de contabilidad;
852;SIESA;FORT-066-2024;Proceso adjudicado y celebrado;Contratación directa.;FORTIFICACIONES;21120120;Presentación de oferta;ESCUELA TALLER CARTAGENA DE INDIAS;27 días de tiempo transcurrido (11/04/2024 7:48:30 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5970275;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado; ;ACTUALIZACION DEL SOFTWARE CONTABLE Y FINANCIERO ZEUS, PARA LAS FORTIFICACIONES DE CARTAGENA Y SEDE ADMINISTRATIVA DE LA ETCAR, EN VIRTUD DEL CONTRATO DE COMODATO N. 2907 DE 2017 SUSCRITO ENTRE EL MINISTERIO DE CULTURA Y LA ESCUELA TALLER CARTAGENA DE INDIAS, CONFORME A LAS ESPECIFICACIONES TÉCNICAS REQUERIDAS.;21120120;43231601 - Software de contabilidad;
853;PRESTACIÓN DE SERVICIOS COMO PROVEEDOR TECNOLÓGICO DE FACTURACIÓN ELECTRÓNICA PARA LA E.S.E. CENTRO DE SALUD SAN PEDRO DE IGUAQUE.;009-2024;Publicado;Contratación régimen especial;CONTRATACION ESE CHIQUIZA;2000000;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN PEDRO DE IGUAQUE;29 días de tiempo transcurrido (9/04/2024 2:54:25 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5954171;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS COMO PROVEEDOR TECNOLÓGICO DE FACTURACIÓN ELECTRÓNICA PARA LA E.S.E. CENTRO DE SALUD SAN PEDRO DE IGUAQUE.;2000000;43231601 - Software de contabilidad;
854;SOPORTE Y MANTENIMIENTO SISTEMA DE INFORMACIÓN FINANCIERO GÉNESIS MÓDULOS: PRESUPUESTO, CONTABILIDAD, TESORERÍA Y LIQUIDACIÓN DE NÓMINA VIGENCIA 2023.;044-2024;Publicado;Contratación régimen especial;CONTRATACION ESE CHIQUIZA;3800000;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN PEDRO DE IGUAQUE;29 días de tiempo transcurrido (9/04/2024 2:38:01 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5954331;-;Suministros;Regla aplicable;28/12/2023 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);SOPORTE Y MANTENIMIENTO SISTEMA DE INFORMACIÓN FINANCIERO GÉNESIS MÓDULOS: PRESUPUESTO, CONTABILIDAD, TESORERÍA Y LIQUIDACIÓN DE NÓMINA VIGENCIA 2023.;0;43231601 - Software de contabilidad;
855;PRESTACIÓN DE SERVICIOS COMO PROVEEDOR TECNOLÓGICO DONDE EL CONTRATISTA, CON PLENA AUTONOMÍA E INDEPENDENCIA TÉCNICA, FINANCIERA Y DIRECTIVA, PRESTARÁ AL CONTRATANTE LOS SERVICIOS DE FACTURACIÓN ELECT;005-2023;Publicado;Contratación régimen especial;CONTRATACION ESE CHIQUIZA;2000000;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN PEDRO DE IGUAQUE;29 días de tiempo transcurrido (9/04/2024 2:07:54 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5953857;-;Prestación de servicios;Regla aplicable;28/12/2023 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS COMO PROVEEDOR TECNOLÓGICO DONDE EL CONTRATISTA, CON PLENA AUTONOMÍA E INDEPENDENCIA TÉCNICA, FINANCIERA Y DIRECTIVA, PRESTARÁ AL CONTRATANTE LOS SERVICIOS DE FACTURACIÓN ELECTRÓNICA, POR SU PARTE, EL CONTRATANTE PAGARÁ LAS TARIFAS ACORDADAS.;0;43231601 - Software de contabilidad;
856;PRESTACIÓN DE SERVICIOS PARA LA ADMINISTRACIÓN DE LAS COMUNICACIONES DIGITALES Y MANEJO DE APLICATIVOS DE REDES SOCIALES DEL MUNICIPIO DE BUSBANZÁ - BOYACÁ;MB-CD-043 DE 2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;8000000;Presentación de oferta;ALCALDIA DE BUSBANZA - BOYACA;30 días de tiempo transcurrido (8/04/2024 4:54:47 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5949179;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;4/08/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS PARA LA ADMINISTRACIÓN DE LAS COMUNICACIONES DIGITALES Y MANEJO DE APLICATIVOS DE REDES SOCIALES DEL MUNICIPIO DE BUSBANZÁ - BOYACÁ;8000000;43231601 - Software de contabilidad;
857;PRESTACIÓN DE SERVICIOS PARA LA ACTUALIZACIÓN MANTENIMIENTO, SOPORTE Y CAPACITACIÓN DEL SOFTWARE FINANCIERO GÉNESIS, INCLUIDO MODULO WEB PARA LA LIQUIDACIÓN DEL IMPUESTO PREDIAL Y FACTURADOR DE LA UNI;MB-CD-042 DE 2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;17000000;Presentación de oferta;ALCALDIA DE BUSBANZA - BOYACA;4/04/2024 2:57:14 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5932072;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;30/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS PARA LA ACTUALIZACIÓN MANTENIMIENTO, SOPORTE Y CAPACITACIÓN DEL SOFTWARE FINANCIERO GÉNESIS, INCLUIDO MODULO WEB PARA LA LIQUIDACIÓN DEL IMPUESTO PREDIAL Y FACTURADOR DE LA UNIDAD DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE BUSBANZÁ - BOYACÁ.;17000000;43231601 - Software de contabilidad;
858;ADQUISICIÓN DE DERECHOS DE SOFTWARE CONTABLE Y FINANCIERO;012024;Publicado;Contratación régimen especial;IED CLARAVAL CHUSCALES;250000;Presentación de oferta;INSTITUCION EDUCATIVA DEPARTAMENTAL CLARAVAL CHUSCALES;4/04/2024 9:27:38 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5929813;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICION DE DERECHOS DE ACCESO A SOFTWARE CONTABLE EN LINEA Y EN LA NUBE;250000;43231601 - Software de contabilidad;
859;RENOVACION FIRMA DIGITAL PROCESO RENDICION DE CUENTAS CONTRALORIA BOGOTA;CVNM-PRESO-002-2024;Proceso en evaluación y observaciones;Contratación régimen especial;COLEGIO VENECIA NUEVO MUZU IED;198500;Presentación de oferta;COLEGIO VENECIA NUEVO MUZU;3/04/2024 3:48:04 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5926256;-;Decreto 092 de 2017;Decreto 092 de 2017;29/02/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito); ;0;43231601 - Software de contabilidad;
860;PRESTACIÓN DE SERVICIOS PARA LA ACTUALIZACIÓN, SOPORTE, MANTENIMIENTO Y CAPACITACIÓN DEL SISTEMA FINANCIERO GÉNESIS MÓDULOS PRESUPUESTO, CONTABILIDAD, TESORERÍA, ALMACÉN, LIQUIDADOR DE NÓMINA Y MÓDULO;ML-CD-074 DE 2024;Proceso adjudicado y celebrado;Contratación directa.;JORGE ENRIQUE VANEGAS PULIDO;8000000;Presentación de oferta;MUNICIPIO DE LABRANZAGRANDE;3/04/2024 3:04:01 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5925745;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;15/08/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS PARA LA ACTUALIZACIÓN, SOPORTE, MANTENIMIENTO Y CAPACITACIÓN DEL SISTEMA FINANCIERO GÉNESIS MÓDULOS PRESUPUESTO, CONTABILIDAD, TESORERÍA, ALMACÉN, LIQUIDADOR DE NÓMINA Y MÓDULO LIQUIDADOR IMPUESTO PREDIAL DEL MUNICIPIO DE LABRANZAGRANDE - BOYACÁ.;8000000;43231601 - Software de contabilidad;
861;ACTUALIZACIÓN Y SOPORTE DEL SOFTWARE FINANCIERO GENESIS MÓDULOS BÁSICOS PRESUPUESTO, CONTABILIDAD, TESORERÍA Y LIQUIDADOR NÓMINA;034-2024;Publicado;Contratación régimen especial;GERENCIA;4918000;Presentación de oferta;ESE CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE;2/04/2024 11:51:22 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5922934;-;Prestación de servicios;Regla aplicable;27/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACIÓN Y SOPORTE DEL SOFTWARE FINANCIERO GENESIS MÓDULOS BÁSICOS PRESUPUESTO, CONTABILIDAD, TESORERÍA Y LIQUIDADOR NÓMINA;1000000;43231601 - Software de contabilidad;
862;CONTRATACION DE SERVICIO DE PROGRAMA O APLICACION CONTABLE VIGENCIA 2023-2024;MZM-0001-10-2023;Publicado;Contratación régimen especial;CONTRATOS IEMDM;1300000;Presentación de oferta;INSTITUCION EDUCATIVA MANZANILLO DEL MAR;1/04/2024 3:08:48 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5913707;-;Prestación de servicios;Regla aplicable;2/10/2023 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATACION DE SERVICIO DE PROGRAMA O APLICACION CONTABLE VIGENCIA 2023-2024;0;43231601 - Software de contabilidad;
863;PRESTACIÓN DE SERVICIOS DE SOFTWARE PARA LA DOTACION, CAPACITACIÓN, MANTENIMIENTO, Y PUESTA EN MARCHA DE LOS MÓDULOS WEB DEL SISTEMA INTEGRADO UNIVERSO ON LINE SAS;CPS-020-2024;Publicado;Contratación régimen especial;BLANCA JOEMA CAMPO VIDES;23000000;Presentación de oferta;EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE SAN ALBERTO EMPOSANAL S.A. ESP;22/03/2024 8:41:23 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5891530;-;Prestación de servicios;Regla aplicable;30/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE SOFTWARE PARA LA DOTACION, CAPACITACIÓN, MANTENIMIENTO, Y PUESTA EN MARCHA DE LOS MÓDULOS WEB DEL SISTEMA INTEGRADO UNIVERSO ON LINE SAS;23000000;43231601 - Software de contabilidad;
864;ACTUALIZACIÓN Y SOPORTE TÉCNICO DEL SOFTWARE FINANCIERO DURANTE EL PRIMER TRIMESTRE DEL AÑO 2024;CONTRATO 04-2024;Publicado;Contratación régimen especial;tesoreria;500000;Presentación de oferta;INSTITUCION EDUCATIVA BYRON GAVIRIA*;22/03/2024 3:26:17 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5888165;-;Suministros;Regla aplicable;31/03/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);LA INSTITUCIÓN EDUCATIVA BYRON GAVIRIA requiere contratarla las actualización y soporte técnico del software contable del primer trimestre del año 2024;0;43231601 - Software de contabilidad;
865;USO DE LICENCIA DEL SOTWAR;SERVI 0009;Publicado;Contratación régimen especial;CONTRATO;1600000;Presentación de oferta;INSTITUCIÓN EDUCATIVA DE SANTA ANA;21/03/2024 4:20:36 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5880839;-;Servicios financieros;Regla aplicable;30/12/2023 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);"USO MEDIANTE LICENCIA CONCURRENTE DEL SOPORTE L6GICO 0
SOFTWARE DENOMINADO,""SISTEMA INTEGRADO DE GESTION
ADMINISTRATIVA ""SIGAA"" 100% WEB EN LA INSTITUCION EDUCATIVA
DURANTE LA VIGENCIA DE 2023-2024.";0;43231601 - Software de contabilidad;
866;ADQUISICIÓN DE SISTEMA INFORMÁTICO FINANCIERO;PC-MS-MC-007-2024;Proceso adjudicado y celebrado;Mínima cuantía;SECRETARIA DE HACIENDA;36400000;Presentación de oferta;MUNICIPIO DE SOCOTA;21/03/2024 1:45:42 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5879206;26/03/2024 3:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Compraventa;Presupuesto inferior al 10% de la menor cuantía;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICIÓN DE SISTEMA INFORMÁTICO FINANCIERO MÓDULO DE PRESUPUESTO, TESORERÍA, CONTABILIDAD Y LIQUIDADOR DE NÓMINA PARA EL MUNICIPIO DE SOCOTÁ - BOYACÁ;0;43231601 - Software de contabilidad;
867;ADQUISICIÓN DE SISTEMA INFORMÁTICO MÓDULO WEB GESTION FINANCIERA Y TRIBUTARIA PARA EL FORTALECIMIENTO DE LA SECRETARÍA DE HACIENDA DEL MUNICIPIO DE TOTA;MT-IMC-005-2024;Proceso adjudicado y celebrado;Mínima cuantía;Contratacion;25000000;Presentación de oferta;ALCALDÍA MUNICIPAL DE TOTA;19/03/2024 6:58:56 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5867437;22/03/2024 6:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Presupuesto inferior al 10% de la menor cuantía; ; ;0;43231601 - Software de contabilidad;
868;PRESTACIÓN DEL SERVICIO DE SOPORTE DE GENERACIÓN, EXPEDICIÓN Y RADICACIÓN DE FACTURAS ELECTRÓNICAS Y SOPORTE DE LA PLATAFORMA TECNOLÓGICA PARA NÓMINA ELECTRÓNICA IMPLEMENTADOS PARA LA EMPRESA SOCIAL D;HMM-PS-18-2024;Publicado;Contratación régimen especial;GERENCIA;2200000;Presentación de oferta;EMPRESA SOCIAL DE ESTADO HOSPITAL LAS MERCEDES;19/03/2024 9:11:06 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5861712;-;Prestación de servicios;Regla aplicable;12/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DEL SERVICIO DE SOPORTE DE GENERACIÓN, EXPEDICIÓN Y RADICACIÓN DE FACTURAS ELECTRÓNICAS Y SOPORTE DE LA PLATAFORMA TECNOLÓGICA PARA NÓMINA ELECTRÓNICA IMPLEMENTADOS PARA LA EMPRESA SOCIAL DEL ESTADO HOSPITAL LAS MERCEDES DE MONGUÍ.;2000000;43231601 - Software de contabilidad;
869;SOFTWARE CONTABLE FAP;SIP-APC-002-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;Gestión contractual;0;Presentación de oferta;APC COLOMBIA+;18/03/2024 11:52:01 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5855680;22/03/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ;31/12/2023 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICIÓN DE UN SOFTWARE CONTABLE PARA EL REGISTRO, ADMINISTRACIÓN, SEGUIMIENTO Y CONTROL DE LOS MOVIMIENTOS FINANCIEROS CORRESPONDIENTES A ADMINISTRACIÓN DE LOS RECURSOS EN ESPECIAL LOS APORTES DE FONDO ALIANZA PACIFICO;0;43231601 - Software de contabilidad;
870;HEINSOHN BUSINESS TECHNOLOGY S.A. BIC;SED-OTIC-CD-001-2024;Proceso adjudicado y celebrado;Contratación directa.;DIRECCION DE CONTRATACION;423284224;Presentación de oferta;SECRETARIA DE EDUCACION DEL DISTRITO;18/03/2024 11:38:11 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5855658;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;21/03/2025 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Prestar el servicio de actualización, soporte, funcionalidades especiales y asistencia técnica para el software Apoteosys que soporta el sistema de información financiero de la Secretaría de Educación del Distrito - SED.;423284224;43231601 - Software de contabilidad;
871;ACTUALIZACION TNS;RE-008-2024;Publicado;Contratación régimen especial;PAGADURIA;2000000;Presentación de oferta;INSTITUCION EDUCATIVA COLEGIO GIBRALTAR;18/03/2024 8:35:03 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5854174;-;Prestación de servicios;Regla aplicable;11/07/2023 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION TNS;0;43231601 - Software de contabilidad;
872;CPS 003-2024 SINFA SISTEMA DE INFORMACION FINANCIERO Y ADMINISTRATIVO SAS;CPS 003-2024;Proceso adjudicado y celebrado;Contratación directa.;Subgerencia Financiera;38356000;Presentación de oferta;BENEFICENCIA DE CUNDINAMARCA;14/03/2024 4:35:35 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5840538;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"CONTRATAR EL SERVICIO DE COMPUTAC1ON EN LA NUBE DEL SISTEMA DE
INFORMACION FINANCIERO Y ADMINISTRATIVO (Software como Servicio).";0;43231601 - Software de contabilidad;
